Elapsed Time   , Data  , ADC     , StartCells, OpenWire, Discharge, StartAux   , StartStatus, BRD#01 ADDR , CELL01, CELL02, CELL03, CELL04, CELL05, CELL06, CELL07, CELL08, CELL09, CELL10, CELL11, CELL12, GPIO1, GPIO2, GPIO3, GPIO4, GPIO5, VREF2, SOC   , ITMP  , VREGA , VREGD , 
0000:00:04.880, 10, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3358, 2.1337, 2.3294, 2.0637, 2.3429, 2.3409, 0.0000, 0.0779, 0.0415, 0.0005, 0.0000, 0.1154, 3.9909, 4.0536, 0.0000, 5.0178, 5.0175, 3.0023, 13.6200, 2.2810, 5.0594, 3.2055, 
0000:00:05.400, 11, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1336, 2.3292, 2.0637, 2.3429, 2.3410, 0.0000, 0.0809, 0.0378, 0.0023, 0.0000, 0.1089, 3.9899, 4.0533, 0.0000, 5.0171, 5.0175, 3.0023, 13.6220, 2.2808, 5.0594, 3.2060, 
0000:00:05.901, 12, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1336, 2.3294, 2.0636, 2.3429, 2.3410, 0.0000, 0.0850, 0.0355, 0.0036, 0.0000, 0.1025, 3.9896, 4.0517, 0.0000, 5.0177, 5.0180, 3.0022, 13.6220, 2.2808, 5.0598, 3.2060, 
0000:00:06.425, 13, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3360, 2.1336, 2.3294, 2.0635, 2.3429, 2.3411, 0.0000, 0.0872, 0.0320, 0.0046, 0.0000, 0.0969, 3.9904, 4.0540, 0.0000, 5.0175, 5.0170, 3.0022, 13.6200, 2.2810, 5.0589, 3.2056, 
0000:00:06.943, 14, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3361, 2.1335, 2.3293, 2.0635, 2.3430, 2.3410, 0.0000, 0.0895, 0.0287, 0.0056, 0.0000, 0.0917, 3.9883, 4.0517, 0.0000, 5.0174, 5.0173, 3.0022, 13.6180, 2.2810, 5.0592, 3.2058, 
0000:00:07.460, 15, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3358, 2.1336, 2.3294, 2.0634, 2.3429, 2.3410, 0.0000, 0.0908, 0.0254, 0.0063, 0.0000, 0.0874, 3.9882, 4.0513, 0.0000, 5.0175, 5.0176, 3.0023, 13.6200, 2.2808, 5.0593, 3.2058, 
0000:00:07.993, 16, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3358, 2.1333, 2.3293, 2.0634, 2.3429, 2.3410, 0.0000, 0.0932, 0.0230, 0.0070, 0.0000, 0.0823, 3.9896, 4.0528, 0.0000, 5.0178, 5.0173, 3.0022, 13.6220, 2.2809, 5.0595, 3.2059, 
0000:00:08.494, 17, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1334, 2.3295, 2.0634, 2.3430, 2.3410, 0.0000, 0.0963, 0.0214, 0.0078, 0.0000, 0.0772, 3.9890, 4.0519, 0.0000, 5.0178, 5.0171, 3.0022, 13.6200, 2.2810, 5.0590, 3.2060, 
0000:00:09.018, 18, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.3359, 2.1333, 2.3293, 2.0632, 2.3429, 2.3409, 0.0000, 0.0974, 0.0188, 0.0083, 0.0000, 0.0739, 3.9897, 4.0520, 0.0000, 5.0170, 5.0171, 3.0023, 13.6200, 2.2809, 5.0586, 3.2056, 
0000:00:09.538, 19, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 1.8586, 1.3920, 1.8589, 1.3178, 1.9335, 1.8550, 0.0000, 0.0652, 0.0000, 0.0000, 0.0000, 0.0361, 3.9881, 4.0515, 0.0000, 5.0161, 5.0155, 3.0022, 10.2040, 2.2808, 5.0578, 3.2058, 
0000:00:10.041, 20, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 1.8586, 1.3920, 1.8589, 1.3178, 1.9335, 1.8550, 0.0006, 0.0006, 0.0000, 0.0000, 0.0000, 0.0361, 3.9881, 4.0515, 0.0000, 5.0161, 5.0155, 3.0022, 10.2040, 2.2808, 5.0578, 3.2058, 
0000:00:10.560, 21, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0007, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0006, 0.0006, 0.0006, 0.0006, 0.0006, 0.0006, 6.2153, 6.2145, 0.0017, 6.2155, 6.2155, 6.2155, 0.0000, 1.6864, 6.2157, 4.3070, 
0000:00:11.061, 22, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.2153, 6.2145, 0.0017, 6.2155, 6.2155, 6.2155, 0.0000, 1.6864, 6.2157, 4.3070, 
0000:00:11.578, 23, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.2153, 6.2145, 0.0017, 6.2155, 6.2155, 6.2155, 0.0000, 1.6864, 6.2157, 4.3070, 
0000:00:12.080, 24, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.2153, 6.2145, 0.0017, 6.2155, 6.2155, 6.2155, 0.0000, 1.6864, 6.2157, 4.3070, 
0000:00:12.598, 25, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.2153, 6.2145, 0.0017, 6.2155, 6.2155, 6.2155, 0.0000, 1.6864, 6.2157, 4.3070, 
0000:00:13.101, 26, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.1632, 6.1632, 0.0016, 6.1633, 6.1641, 6.1633, 0.0000, 1.6608, 6.1636, 4.1022, 
0000:00:13.604, 27, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.1632, 6.1632, 0.0000, 6.1633, 6.1633, 6.1633, 0.0000, 1.6608, 6.1636, 4.1022, 
0000:00:14.137, 28, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3940, 6.3936, 0.0008, 6.3941, 6.3941, 6.3941, 0.0000, 0.0240, 6.3942, 3.7919, 
0000:00:14.662, 29, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3972, 6.3968, 0.0008, 6.3973, 6.3973, 6.3973, 0.0000, 0.8432, 6.3974, 3.7919, 
0000:00:15.164, 30, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 6.5535, 6.5535, 6.5535, 1.0935, 2.1350, 1.8737, 0.0000, 0.0000, 0.0848, 0.0000, 0.0000, 0.3785, 6.5535, 6.5535, 6.5535, 4.9866, 4.9864, 6.5535, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:15.682, 31, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 1.7281, 1.1436, 1.5221, 1.1635, 2.1972, 2.1127, 0.0000, 0.0000, 0.1178, 0.0000, 0.0000, 0.3723, 3.9316, 4.0270, 0.0000, 5.0154, 5.0159, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:16.183, 32, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 1.9053, 1.1961, 1.6849, 1.1635, 2.1972, 2.1127, 0.0000, 0.0000, 0.1282, 0.0000, 0.0000, 0.3452, 3.9686, 4.0508, 0.0000, 5.0166, 5.0163, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:16.700, 33, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.0293, 1.2127, 1.7543, 1.1911, 2.2268, 2.1935, 0.0000, 0.0000, 0.1335, 0.0000, 0.0000, 0.3170, 3.9783, 4.0527, 0.0000, 5.0170, 5.0166, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:17.234, 34, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1081, 1.2236, 1.8537, 1.1985, 2.2355, 2.2075, 0.0000, 0.0000, 0.1393, 0.0000, 0.0000, 0.2906, 3.9838, 4.0517, 0.0000, 5.0169, 5.0159, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:17.736, 35, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1463, 1.2311, 1.9511, 1.2043, 2.2422, 2.2172, 0.0000, 0.0000, 0.1450, 0.0000, 0.0000, 0.2657, 3.9842, 4.0515, 0.0000, 5.0165, 5.0156, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:18.254, 36, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1647, 1.2370, 2.0261, 1.2093, 2.2478, 2.2254, 0.0000, 0.0107, 0.1501, 0.0000, 0.0000, 0.2400, 3.9854, 4.0508, 0.0000, 5.0159, 5.0163, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:18.757, 37, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1767, 1.2422, 2.0825, 1.2093, 2.2478, 2.2254, 0.0000, 0.0299, 0.1557, 0.0000, 0.0000, 0.2160, 3.9881, 4.0512, 0.0000, 5.0169, 5.0168, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:19.244, 38, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1856, 1.2467, 2.1171, 1.2173, 2.2569, 2.2372, 0.0000, 0.0485, 0.1613, 0.0000, 0.0000, 0.1931, 3.9902, 4.0539, 0.0000, 5.0168, 5.0164, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:19.762, 39, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1928, 1.2503, 2.1374, 1.2209, 2.2609, 2.2421, 0.0000, 0.0652, 0.1656, 0.0000, 0.0000, 0.1698, 3.9901, 4.0523, 0.0000, 5.0167, 5.0159, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:20.287, 40, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.1994, 1.2539, 2.1521, 1.2242, 2.2645, 2.2464, 0.0000, 0.0821, 0.1704, 0.0000, 0.0000, 0.1476, 3.9879, 4.0520, 0.0000, 5.0167, 5.0167, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:20.788, 41, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2055, 1.2571, 2.1628, 1.2270, 2.2676, 2.2502, 0.0000, 0.0986, 0.1754, 0.0000, 0.0000, 0.1264, 3.9902, 4.0526, 0.0000, 5.0166, 5.0167, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:21.304, 42, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2106, 1.2600, 2.1712, 1.2297, 2.2707, 2.2539, 0.0000, 0.1130, 0.1789, 0.0000, 0.0000, 0.1054, 3.9904, 4.0521, 0.0000, 5.0170, 5.0171, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:21.840, 43, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2155, 1.2628, 2.1787, 1.2324, 2.2735, 2.2572, 0.0000, 0.1263, 0.1815, 0.0000, 0.0000, 0.0859, 3.9898, 4.0525, 0.0000, 5.0166, 5.0168, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:22.342, 44, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2200, 1.2653, 2.1856, 1.2347, 2.2759, 2.2572, 0.0000, 0.1391, 0.1838, 0.0000, 0.0000, 0.0683, 3.9907, 4.0516, 0.0000, 5.0160, 5.0162, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:22.860, 45, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2240, 1.2677, 2.1914, 1.2347, 2.2759, 2.2598, 0.0000, 0.1486, 0.1833, 0.0000, 0.0000, 0.0521, 3.9898, 4.0504, 0.0000, 5.0169, 5.0173, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:23.364, 46, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2277, 1.2700, 2.1968, 1.2390, 2.2805, 2.2649, 0.0000, 0.1578, 0.1829, 0.0000, 0.0000, 0.0381, 3.9914, 4.0531, 0.0000, 5.0170, 5.0169, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:23.879, 47, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2312, 1.2720, 2.2015, 1.2411, 2.2825, 2.2674, 0.0000, 0.1643, 0.1799, 0.0000, 0.0000, 0.0251, 3.9915, 4.0525, 0.0000, 5.0168, 5.0167, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:24.404, 48, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2345, 1.2740, 2.2061, 1.2430, 2.2845, 2.2697, 0.0000, 0.1699, 0.1765, 0.0000, 0.0000, 0.0147, 3.9906, 4.0521, 0.0000, 5.0170, 5.0172, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:24.938, 49, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2375, 1.2760, 2.2103, 1.2450, 2.2865, 2.2718, 0.0000, 0.1747, 0.1724, 0.0000, 0.0000, 0.0043, 3.9920, 4.0535, 0.0000, 5.0169, 5.0170, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:25.441, 50, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2405, 1.2779, 2.2142, 1.2464, 2.2865, 2.2718, 0.0000, 0.1800, 0.1691, 0.0000, 0.0000, 0.0000, 3.9898, 4.0508, 0.0000, 5.0169, 5.0172, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:25.957, 51, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2429, 1.2794, 2.2175, 1.2464, 2.2880, 2.2737, 0.0000, 0.1849, 0.1657, 0.0000, 0.0000, 0.0000, 3.9920, 4.0534, 0.0000, 5.0169, 5.0175, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:26.491, 52, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2454, 1.2808, 2.2205, 1.2497, 2.2913, 2.2772, 0.0000, 0.1884, 0.1606, 0.0000, 0.0000, 0.0000, 3.9926, 4.0524, 0.0000, 5.0166, 5.0173, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:27.016, 53, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2501, 1.2840, 2.2264, 1.2511, 2.2927, 2.2787, 0.0000, 0.1924, 0.1567, 0.0000, 0.0000, 0.0000, 3.9908, 4.0530, 0.0000, 5.0165, 5.0171, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:27.536, 54, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2501, 1.2840, 2.2264, 1.2511, 2.2927, 2.2787, 0.0000, 0.1954, 0.1518, 0.0013, 0.0000, 0.0000, 3.9906, 4.0525, 0.0000, 5.0171, 5.0170, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:28.038, 55, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2522, 1.2854, 2.2288, 1.2536, 2.2954, 2.2817, 0.0000, 0.1985, 0.1477, 0.0033, 0.0000, 0.0000, 3.9905, 4.0523, 0.0000, 5.0167, 5.0165, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:28.541, 56, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2541, 1.2866, 2.2313, 1.2549, 2.2965, 2.2829, 0.0000, 0.2019, 0.1427, 0.0043, 0.0000, 0.0000, 3.9923, 4.0542, 0.0000, 5.0172, 5.0170, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:29.059, 57, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2579, 1.2891, 2.2334, 1.2560, 2.2978, 2.2843, 0.0000, 0.2063, 0.1401, 0.0058, 0.0000, 0.0000, 3.9924, 4.0535, 0.0000, 5.0167, 5.0169, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:29.576, 58, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2579, 1.2891, 2.2355, 1.2572, 2.2987, 2.2855, 0.0000, 0.2095, 0.1358, 0.0074, 0.0000, 0.0000, 3.9909, 4.0526, 0.0000, 5.0176, 5.0166, 3.0024, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:30.108, 59, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2595, 1.2902, 2.2372, 1.2584, 2.2999, 2.2868, 0.0000, 0.2119, 0.1310, 0.0076, 0.0000, 0.0000, 3.9904, 4.0535, 0.0000, 5.0175, 5.0171, 3.0021, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:30.632, 60, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2612, 1.2913, 2.2394, 1.2594, 2.3010, 2.2879, 0.0000, 0.2163, 0.1283, 0.0087, 0.0000, 0.0000, 3.9908, 4.0532, 0.0000, 5.0174, 5.0170, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:31.151, 61, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2629, 1.2923, 2.2411, 1.2594, 2.3010, 2.2879, 0.0000, 0.2185, 0.1244, 0.0094, 0.0000, 0.0000, 3.9914, 4.0539, 0.0000, 5.0176, 5.0169, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:31.670, 62, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2643, 1.2933, 2.2427, 1.2603, 2.3019, 2.2889, 0.0000, 0.2215, 0.1207, 0.0095, 0.0000, 0.0000, 3.9904, 4.0527, 0.0000, 5.0173, 5.0167, 3.0023, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:32.188, 63, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2657, 1.2944, 2.2444, 1.2622, 2.3038, 2.2911, 0.0000, 0.2243, 0.1171, 0.0104, 0.0000, 0.0000, 3.9918, 4.0518, 0.0000, 5.0168, 5.0171, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:32.690, 64, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2671, 1.2952, 2.2457, 1.2631, 2.3046, 2.2919, 0.0000, 0.2277, 0.1147, 0.0107, 0.0000, 0.0000, 3.9924, 4.0541, 0.0000, 5.0175, 5.0173, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:33.195, 65, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2683, 1.2961, 2.2471, 1.2639, 2.3055, 2.2927, 0.0000, 0.2300, 0.1113, 0.0107, 0.0000, 0.0000, 3.9913, 4.0532, 0.0000, 5.0176, 5.0165, 3.0022, 131.0700, 6.5535, 6.5535, 6.5535, 
0000:00:33.695, 66, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2696, 1.2969, 2.2485, 1.2646, 2.3055, 2.2927, 0.0000, 0.2311, 0.1071, 0.0112, 0.0000, 0.0000, 3.9919, 4.0543, 0.0000, 5.0168, 5.0169, 3.0023, 11.7600, 2.2794, 6.5535, 3.2056, 
0000:00:34.227, 67, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2705, 1.2977, 2.2496, 1.2646, 2.3063, 2.2936, 0.0000, 0.2224, 0.0936, 0.0021, 0.0000, 0.0000, 3.9918, 4.0533, 0.0000, 5.0172, 5.0169, 3.0023, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:34.750, 68, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2718, 1.2984, 2.2509, 1.2655, 2.3071, 2.2946, 0.0000, 0.2323, 0.0981, 0.0103, 0.0000, 0.0000, 3.9913, 4.0543, 0.0000, 5.0174, 5.0171, 3.0022, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:35.269, 69, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2729, 1.2991, 2.2521, 1.2663, 2.3078, 2.2953, 0.0000, 0.2359, 0.0969, 0.0110, 0.0000, 0.0000, 3.9929, 4.0520, 0.0000, 5.0175, 5.0178, 3.0022, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:35.787, 70, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2740, 1.3000, 2.2530, 1.2677, 2.3091, 2.2967, 0.0000, 0.2394, 0.0952, 0.0108, 0.0000, 0.0000, 3.9930, 4.0544, 0.0000, 5.0175, 5.0168, 3.0023, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:36.306, 71, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2763, 1.3014, 2.2554, 1.2684, 2.3099, 2.2975, 0.0000, 0.2435, 0.0944, 0.0116, 0.0000, 0.0000, 3.9918, 4.0529, 0.0000, 5.0174, 5.0172, 3.0023, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:36.823, 72, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2763, 1.3014, 2.2554, 1.2684, 2.3099, 2.2975, 0.0000, 0.2459, 0.0922, 0.0115, 0.0000, 0.0000, 3.9909, 4.0528, 0.0000, 5.0175, 5.0174, 3.0023, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:37.326, 73, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2770, 1.3021, 2.2562, 1.2697, 2.3110, 2.2989, 0.0000, 0.2496, 0.0911, 0.0116, 0.0000, 0.0000, 3.9929, 4.0546, 0.0000, 5.0175, 5.0171, 3.0023, 11.7600, 2.2794, 5.0587, 3.2056, 
0000:00:37.866, 74, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 2.2778, 1.3026, 2.2573, 1.2703, 2.3115, 2.2994, 0.0000, 0.2513, 0.0885, 0.0113, 0.0000, 0.0000, 3.9909, 4.0531, 0.0000, 5.0174, 5.0176, 3.0024, 11.7600, 2.2794, 5.0587, 3.2056, 
